Donor,Panel,Instrument,File name
d017,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_004.fcs"
d017,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_008.fcs"
d017,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_001.fcs"
d017,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_002.fcs"
d017,Sort,Aria,Specimen_002_FNA_019.fcs
d017,Sort,Aria,Specimen_002_PBMC_020.fcs
d018,Sort,Aria,"Compensation Controls_405-450,2f,50 Stained Control_006.fcs"
d018,Sort,Aria,"Compensation Controls_405-610,2f,20 Stained Control_007.fcs"
d018,Sort,Aria,"Compensation Controls_405-660,2f,20 Stained Control_008.fcs"
d018,Sort,Aria,"Compensation Controls_488-530,2f,30 Stained Control_004.fcs"
d018,Sort,Aria,"Compensation Controls_561-585,2f,15 Stained Control_010.fcs"
d018,Sort,Aria,"Compensation Controls_561-610,2f,20 Stained Control_005.fcs"
d018,Sort,Aria,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d018,Sort,Aria,"Compensation Controls_633-660,2f,20 Stained Control_002.fcs"
d018,Sort,Aria,"Compensation Controls_633-780,2f,60 Stained Control_003.fcs"
d018,Sort,Aria,Specimen_002_FNA_020.fcs
d018,Sort,Aria,Specimen_002_PBMC_021.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_BL1-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_RL1-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_RL2-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_RL3-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_VL1-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_VL2-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_VL3-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_VL4-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_YL1-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_YL2-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Compensation_YL4-A.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Samples_FNA019_FNA_ficoll_top_Bcell_panel.fcs
d019,Sort,Aria,FNA019 B panel 16072019(2)_Samples_FNA019_PBMC_Bcell_panel.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_BL1-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_RL1-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_RL2-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_RL3-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_VL1-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_VL2-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_VL3-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_VL4-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_YL1-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_YL2-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Compensation_YL4-A.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Samples_FNA020_FNA_Bcell_panel.fcs
d020,Sort,Aria,FNA020 B panel 18072019(1)_Samples_FNA020_PBMC_Bcell_panel.fcs
d021,Sort,Aria,FNA021 B panel 25072019_Compensation_BL1-A.fcs
